Original_ID	ORF	GENENAME	COMMON	ENTREZID	Final_ID	Conversion_Method	Status
HYP2	YEL034W	HYP2	HYP2	856677	HYP2	GENENAME_found	SUCCESS
FRS2	YFL022C	FRS2	FRS2	850522	FRS2	GENENAME_found	SUCCESS
YGR201C	YGR201C	NA	NA	853115	YGR201C	ORF_unchanged	SUCCESS
PNP1	YLR209C	PNP1	PNP1	850906	PNP1	GENENAME_found	SUCCESS
TMC1	YOR052C	TMC1	TMC1	854217	TMC1	GENENAME_found	SUCCESS
DYS1	YHR068W	DYS1	DYS1	856465	DYS1	GENENAME_found	SUCCESS
MDM20	YOL076W	MDM20	MDM20	854079	MDM20	GENENAME_found	SUCCESS
SBA1	YKL117W	SBA1	SBA1	853743	SBA1	GENENAME_found	SUCCESS
VAS1	YGR094W	VAS1	VAS1	852986	VAS1	GENENAME_found	SUCCESS
CSE1	YGL238W	CSE1	CSE1	852612	CSE1	GENENAME_found	SUCCESS
SEC1	YDR164C	SEC1	SEC1	851742	SEC1	GENENAME_found	SUCCESS
FPR3	YML074C	FPR3	FPR3	854901	FPR3	GENENAME_found	SUCCESS
ARC1	YGL105W	ARC1	ARC1	852773	ARC1	GENENAME_found	SUCCESS
FPR4	YLR449W	FPR4	FPR4	851170	FPR4	GENENAME_found	SUCCESS
TMA108	YIL137C	TMA108	TMA108	854669	TMA108	GENENAME_found	SUCCESS
CDS1	YBR029C	CDS1	CDS1	852317	CDS1	GENENAME_found	SUCCESS
PMR1	YGL167C	PMR1	PMR1	852709	PMR1	GENENAME_found	SUCCESS
SWA2	YDR320C	SWA2	SWA2	851918	SWA2	GENENAME_found	SUCCESS
PUP3	YER094C	PUP3	PUP3	856830	PUP3	GENENAME_found	SUCCESS
SEC17	YBL050W	SEC17	SEC17	852230	SEC17	GENENAME_found	SUCCESS
GEA2	YEL022W	GEA2	GEA2	856691	GEA2	GENENAME_found	SUCCESS
YEF3	YLR249W	YEF3	YEF3	850951	YEF3	GENENAME_found	SUCCESS
DBP5	YOR046C	DBP5	DBP5	854211	DBP5	GENENAME_found	SUCCESS
CDC25	YLR310C	CDC25	CDC25	851019	CDC25	GENENAME_found	SUCCESS
DSD1	YGL196W	DSD1	DSD1	852679	DSD1	GENENAME_found	SUCCESS
MBF1	YOR298C-A	MBF1	MBF1	854474	MBF1	GENENAME_found	SUCCESS
GCS1	YDL226C	GCS1	GCS1	851372	GCS1	GENENAME_found	SUCCESS
RGC1	YPR115W	RGC1	RGC1	856231	RGC1	GENENAME_found	SUCCESS
YRO2	YBR054W	YRO2	YRO2	852343	YRO2	GENENAME_found	SUCCESS
IOC4	YMR044W	IOC4	IOC4	855061	IOC4	GENENAME_found	SUCCESS
TRP4	YDR354W	TRP4	TRP4	851956	TRP4	GENENAME_found	SUCCESS
IGO2	YHR132W-A	IGO2	IGO2	856534	IGO2	GENENAME_found	SUCCESS
RIX1	YHR197W	RIX1	RIX1	856604	RIX1	GENENAME_found	SUCCESS
PUS1	YPL212C	PUS1	PUS1	855889	PUS1	GENENAME_found	SUCCESS
SFT2	YBL102W	SFT2	SFT2	852172	SFT2	GENENAME_found	SUCCESS
SCP160	YJL080C	SCP160	SCP160	853365	SCP160	GENENAME_found	SUCCESS
ACC1	YNR016C	ACC1	ACC1	855750	ACC1	GENENAME_found	SUCCESS
YHR122W	YHR122W	CIA2	CIA2	856522	CIA2	ORF_to_GENENAME	SUCCESS
GCN3	YKR026C	GCN3	GCN3	853896	GCN3	GENENAME_found	SUCCESS
SKI2	YLR398C	SKI2	SKI2	851114	SKI2	GENENAME_found	SUCCESS
TIF1	YKR059W	TIF1	TIF1	853933	TIF1	GENENAME_found	SUCCESS
ZWF1	YNL241C	ZWF1	ZWF1	855480	ZWF1	GENENAME_found	SUCCESS
SPC1	YJR010C-A	SPC1	SPC1	853467	SPC1	GENENAME_found	SUCCESS
ZEO1	YOL109W	ZEO1	ZEO1	854040	ZEO1	GENENAME_found	SUCCESS
PDC1	YLR044C	PDC1	PDC1	850733	PDC1	GENENAME_found	SUCCESS
ACL4	YDR161W	ACL4	ACL4	851739	ACL4	GENENAME_found	SUCCESS
MPP10	YJR002W	MPP10	MPP10	853458	MPP10	GENENAME_found	SUCCESS
RMT2	YDR465C	RMT2	RMT2	852076	RMT2	GENENAME_found	SUCCESS
