GENENAME,ENTREZID,Time,Score
NCB2,852006,T0,1.0369011
UFD2,851337,T0,1.0344726
RTR1,856882,T0,1.0311508
EBP2,853682,T0,1.0307112
CST26,852330,T0,1.0305536
BRN1,852180,T0,1.0291722
NUP53,855184,T0,1.0273361
UBP2,854291,T0,1.0224062
TYR1,852464,T0,1.0203412
SGD1,851049,T0,1.020283
KRE6,856287,T0,1.0047374
MIG1,852848,T0,1.0045539000000001
DBP9,850982,T0,1.0037321
"ARG5,6",856800,T0,1.0028453
NA,853124,T0,1.0024332
POL30,852385,T0,1.0019563
GRX5,856048,T0,1.0018512
GRX1,850322,T0,1.0006089
GRS2,856196,T0,0.99658644
MTF2,851517,T0,0.9948731
ENT2,850903,T0,0.9936807
OTU1,850500,T0,0.992623
NA,851433,T0,0.9914591
PIL1,852977,T0,0.9912199
DPH2,853643,T0,0.9909775
SIP5,855171,T0,0.9866905
RSA3,850918,T0,0.9846099
SKI3,856319,T0,0.9844084
YIF1,855458,T0,0.98191947
TPA1,856775,T0,0.9766095
PBP4,851507,T0,0.97497606
DBP1,855984,T0,0.97283417
ADD37,855222,T0,0.9717928
EHT1,852476,T0,0.9709372
UTR4,856673,T0,0.9705782
CMC1,853721,T0,0.9702383
SKI8,852659,T0,0.96933794
GCV3,851254,T0,0.9679142
ALB1,853320,T0,0.96724415
SIZ1,852018,T0,0.966706
PXP1,856694,T0,0.9660832
GTT1,854856,T0,0.96392477
BET4,853421,T0,0.95763546
DRE2,853945,T0,0.95665556
SEC18,852372,T0,0.95606387
GSH2,854108,T0,0.95472795
TDA10,853119,T0,0.95435554
SEC27,852740,T0,0.9537377
GAS5,854127,T0,0.95292616
MSN4,853803,T0,0.9526662
CPS1,853267,T0,0.950981
CSC1,850942,T0,0.9457524
SMC3,853371,T0,0.9452057
MAK5,852439,T0,0.9435191
NAP1,853922,T0,0.9425424
RPS31,850864,T0,0.9421593
DBP6,855774,T0,0.9399339
NA,855141,T0,0.9390182
ASF1,853327,T0,0.93882394
CYC1,853507,T0,0.9388136
NA,851825,T0,0.9378429
ARC15,854748,T0,0.93351495
LTV1,853714,T0,0.93173796
UTP4,851924,T0,0.9306468
SFM1,854186,T0,0.92977047
RPL28,852775,T0,0.9294314
RPC19,855609,T0,0.9255194
APT1,854986,T0,0.9210223
SEC1,851742,T0,0.92026323
ZEO1,854040,T0,0.91965353
MRPS9,852443,T0,0.91941905
NIT3,851065,T0,0.9193163
SFB2,855678,T0,0.9142533
SET3,853900,T0,0.9126783
SDH5,854083,T0,0.9113661
RIO2,855514,T0,0.91103476
PRE2,856218,T0,0.9107466
HHO1,855976,T0,0.91020566
POP2,855788,T0,0.90817696
DBP10,851530,T0,0.9054052
ALG12,855764,T0,0.9051982
MYO3,853729,T0,0.9046869
PET10,853920,T0,0.90466964
FRA1,850630,T0,0.9043734
SNX3,854539,T0,0.90262127
RPL24A,852852,T0,0.90253663
MCM4,856130,T0,0.90024257
BUL2,854929,T0,0.90016365
FMP16,851642,T0,0.8973882
SPT6,853011,T0,0.89584005
IKI3,851100,T0,0.8954791
RSC30,856453,T0,0.8951985
PDR11,854802,T0,0.8949739
GPG1,852756,T0,0.89412403
NOP12,854116,T0,0.8939989
EPO1,855154,T0,0.89246374
WBP1,856716,T0,0.89008147
SIP2,852664,T0,0.8893311
POS5,855913,T0,0.88845706
HEM14,856733,T0,0.8880161
NOP8,854021,T0,0.88712204
RMT2,852076,T0,0.88613135
EMC4,852620,T0,0.885091
FAR8,855044,T0,0.8842866
SLM1,854701,T0,0.8837035
CAB2,854726,T0,0.8832767
ORM2,851064,T0,0.8828084
PMT6,853113,T0,0.88228005
AAC1,855078,T0,0.8798599
SGT1,854222,T0,0.87984633
VMA10,856435,T0,0.8781088
ALO1,854888,T0,0.87800294
ENT5,851731,T0,0.8757029
ERV25,854997,T0,0.8755897
NMA2,852893,T0,0.87045294
ATP14,851002,T0,0.86896306
SLH1,853187,T0,0.8684925
GSF2,854957,T0,0.86797
PPH21,851421,T0,0.86742795
PAC10,852969,T0,0.8665179
SCW10,855352,T0,0.8626824
YPK2,855130,T0,0.86252415
ERG10,856079,T0,0.8611541
REE1,853238,T0,0.8601568
COX13,852684,T0,0.8584057
NSG2,855566,T0,0.85741544
PAR32,851381,T0,0.8544831
DCP1,854016,T0,0.8544737
NUP1,854265,T0,0.8538061
NUC1,853222,T0,0.85163665
SLA1,852276,T0,0.849943
DID4,853868,T0,0.8496342
RCF3,852558,T0,0.84921896
PRP40,853857,T0,0.8489407
RVS167,851996,T0,0.8475179
HSF1,852806,T0,0.84709054
RPH1,856916,T0,0.8466573
PDR16,855490,T0,0.844077
COX14,854910,T0,0.8406585
TCB2,855637,T0,0.8378312
MNN10,851832,T0,0.8370485
DSL1,855463,T0,0.8366182
EAF6,853544,T0,0.8365238
YVC1,854255,T0,0.83584696
ERV46,851256,T0,0.8352941
SEC7,851748,T0,0.8342455
CMC2,852220,T0,0.83424073
SAP190,853899,T0,0.8334117
HST4,851772,T0,0.8325952
PCT1,853116,T0,0.8297416
RGD1,852563,T0,0.8267119
THO1,856792,T0,0.8234168
VTC1,856803,T0,0.8228075
MES1,853181,T0,0.822526
ANP1,856675,T0,0.820182
VOA1,852998,T0,0.8186989
YPT32,852662,T0,0.814589
PBP1,853089,T0,0.81362164
GLO4,854205,T0,0.8128506
NPR1,855538,T0,0.8122054
GAR1,856489,T0,0.8119184
SLC1,851508,T0,0.8113457
GSY2,850962,T0,0.81118417
TPS2,851646,T0,0.80966985
ERV2,856152,T0,0.8092346
RSP5,856862,T0,0.8085906
NSP1,853409,T0,0.8068957
CIN4,855169,T0,0.8031534
NPL4,852468,T0,0.8016807
IDI1,855986,T0,0.80126834
FMS1,855034,T0,0.8003491
REI1,852569,T0,0.7951659
RTG2,852640,T0,0.79356205
SDH8,852572,T0,0.7923634
TFC4,852938,T0,0.79232880000000006
CEG1,852747,T0,0.7909301
SPP41,852075,T0,0.78977555
PRE8,854882,T0,0.78932023
PTM1,853827,T0,0.7888578
BUL1,855318,T0,0.78754586
GPT2,853941,T0,0.78562355
SYG1,854764,T0,0.78332484
SEC14,855103,T0,0.78289306
LAS17,854353,T0,0.78043664
DCS1,850974,T0,0.77752846
RMD8,850609,T0,0.7773947
DOA1,853667,T0,0.7761816
GPI16,856595,T0,0.77529716
NUP192,853410,T0,0.77176595
NA,852590,T0,0.7701621
MLC1,852772,T0,0.7699614
RCN2,854395,T0,0.7694275
MRI1,856234,T0,0.768992
RHO1,856294,T0,0.7685964
CIR2,854538,T0,0.76812774
TLG1,852079,T0,0.7669382
NRP1,851387,T0,0.76487905
ARC40,852536,T0,0.76363695
MET10,850588,T0,0.7624909
EFM3,853593,T0,0.76238817
BSP1,856301,T0,0.759745
UTP25,854717,T0,0.75846785
VPS27,855739,T0,0.75817543
SEC9,852892,T0,0.756533
CBC2,855925,T0,0.7562665
PFY1,854289,T0,0.7560398
EFM5,852884,T0,0.7550943
ATP4,856027,T0,0.75478053
RSM26,853565,T0,0.7545135
LOC1,850551,T0,0.7542001
VMA6,851168,T0,0.75342464
SEC22,850973,T0,0.7523821
RPO26,856317,T0,0.750436
PRE10,854544,T0,0.74901706
QCR2,856321,T0,0.7487287
PMU1,853730,T0,0.7478773
NUP49,852703,T0,0.7469744
MDN1,850796,T0,0.746722
EGO4,855770,T0,0.7461654
TMA17,851448,T0,0.7447746
MOT1,856023,T0,0.74417835
TDA9,854894,T0,0.7438888
SNU114,853681,T0,0.74279106
ARG82,851753,T0,0.7420788
SIL1,854126,T0,0.7416895
CKS1,852432,T0,0.74142534
MBF1,854474,T0,0.7389643
MRP51,855985,T0,0.7379307
GSC2,852920,T0,0.73710465
RIM1,850395,T0,0.7345034
BOI2,856850,T0,0.7327722
MRPL23,854321,T0,0.72793174
GRX7,852302,T0,0.72755927
AMD1,854973,T0,0.72701055
BUD3,850345,T0,0.726726
DCW1,853820,T0,0.7228251
SER2,853122,T0,0.72253776
SSP120,850952,T0,0.7218859
ATP19,854077,T0,0.7218576
SED5,850713,T0,0.7205534
MDH1,853777,T0,0.71919125
SEC15,852618,T0,0.71912813
SHG1,852561,T0,0.7179978
TOS1,852459,T0,0.7164022
NA,853547,T0,0.71636677
MTR10,854331,T0,0.71458817
PHO87,850403,T0,0.71323323
COG6,855687,T0,0.7132189
CCZ1,852428,T0,0.7131134
MIC26,853150,T0,0.7129145
RPS0A,853128,T0,0.7103684
TRA1,856499,T0,0.70909595
AIM17,856365,T0,0.7083152
GIM4,856715,T0,0.7081793
MPT5,852697,T0,0.7078134
TBF1,855975,T0,0.70757675
SFH1,851032,T0,0.7074121
REH1,851103,T0,0.7065423
AIM2,851248,T0,0.70608747
BUD2,853770,T0,0.70508474
CUE1,855306,T0,0.7046016
LRG1,851358,T0,0.70310485
IES1,850534,T0,0.7015691
ARC35,855771,T0,0.7011976
NA,850556,T0,0.6992505
GPC1,853052,T0,0.6990658
VPS54,851591,T0,0.6980544
EGD1,856070,T0,0.69584894
POL31,853462,T0,0.68940926
LSM12,856521,T0,0.688806
HMG1,854900,T0,0.6883575
TCP1,851798,T0,0.6879392
YGP1,855562,T0,0.68381107
GCN3,853896,T0,0.6832918
ATP10,851109,T0,0.6817448
MAK3,856163,T0,0.6787344
LSB1,853037,T0,0.67692244
TIF6,856126,T0,0.675563
FET3,855080,T0,0.6754828
FDC1,852152,T0,0.67379177
SMD1,852964,T0,0.6734892
RPS10B,855270,T0,0.67276716
SRP54,856203,T0,0.6717479
NA,856271,T0,0.6713596
NA,856756,T0,0.67113054
DUT1,852554,T0,0.66924673
CLC1,853077,T0,0.6683471
DAK1,854932,T0,0.66622365
RTS1,854179,T0,0.6653443
RPL32,852185,T0,0.6647665
CDC31,854431,T0,0.6639315
SWH1,851286,T0,0.6638616
GLN3,856763,T0,0.66297925
VHC1,852537,T0,0.662902
CEX1,854279,T0,0.6616964
CPR2,856454,T0,0.6606765
BIK1,850328,T0,0.6604761
UGA2,852291,T0,0.66028786
ACS2,850846,T0,0.6587034
NA,855513,T0,0.6584597
GET3,851458,T0,0.6578616
ALD2,855206,T0,0.655094
OST2,854270,T0,0.65415543
SLA2,855478,T0,0.6539157
SPT4,852955,T0,0.65374
TSR1,851499,T0,0.6535357
PCF11,851814,T0,0.6534141
NA,853794,T0,0.652835
ORM1,852926,T0,0.64891976
CDC27,852194,T0,0.64723086
NOG2,855789,T0,0.6460903
MCM2,852258,T0,0.645748
CWH41,852857,T0,0.64512
PLB1,855020,T0,0.64464027
AIM36,855189,T0,0.64458835
NA,856540,T0,0.64288485
SEC4,850543,T0,0.6425945
TPT1,854051,T0,0.6403282
QRI1,851455,T0,0.6403198
VPH1,854444,T0,0.63781255
DAD2,853958,T0,0.635925
GAA1,850777,T0,0.6339656
NA,852342,T0,0.6332096
SUI3,855838,T0,0.63219696
HEM4,854452,T0,0.63128114
EFR3,855252,T0,0.6295265
TPK3,853688,T0,0.62939525
TOM1,852068,T0,0.62809134
GCD10,855663,T0,0.62759995
EGD2,856600,T0,0.6271693
ARX1,851678,T0,0.62677497
RNR2,853427,T0,0.62638927
SRB2,856437,T0,0.6260827
GCD7,850998,T0,0.6237455
RPL15A,850716,T0,0.623268
MSC7,856434,T0,0.62223005
AIM46,856606,T0,0.6221964
ENV9,854420,T0,0.6190088
RPL9A,852730,T0,0.61811936
ATG26,850886,T0,0.61789334
SRB6,852555,T0,0.617181
LTP1,856187,T0,0.6155226
GCY1,854287,T0,0.61528254
TPO3,856279,T0,0.61475325
FRS2,850522,T0,0.61402273
UBP14,852349,T0,0.6126305
VBA4,851697,T0,0.6123068
PDR1,852871,T0,0.6118711
MAD1,852794,T0,0.61101794
RRS1,854469,T0,0.6098772
